name,rating
Destiny 2,1187
God of War 4,1163
Control,1143
Hollow Knight,1138
Sekiro: Shadows Die Twice,1136
Bloodborne,1134
Resident Evil 4,1127
Batman: Arkham Knight,1118
Dark Souls 3,1104
Elden Ring,1083
Resident Evil 6,1064
The Last of Us,1056
Batman: Arkham Origins,1023
Shadow of the Tomb Raider,1018
Resident Evil 5,1005
Just Cause 3,987
Fortnite,983
Horizon: Zero Dawn,950
Uncharted 4,921
Detroit: Become Human,903
Call of Duty: Black Ops 3,894
Devil May Cry 5,889
Rise of the Tomb Raider,883
Beyond: Two Souls,871
Spiderman PS4,871
Injustice 2,809
Need for Speed: Payback,797
Call of Duty: Cold War,789
Call of Duty: Warzone,789
Resident Evil 7,781
Rocket League,774
Mirrors Edge: Catalyst,772
Mortal Kombat X,741
Grand Theft Auto V,730
Minecraft,726
Injustice: Gods Among Us,717
Call of Duty: Black Ops 4,649
Until Dawn,642
Just Cause 4,624
Fall Guys,607
